symptoms,sentences
"['diarrhea', 'stomach ache']",Do you have abdominal pain and diarrhea?
['Helicobacter infection'],Um. It is a method to check Helicobacter pylori.
"['indigestion', 'Gastrointestinal disorders']","Spicy, garlic and other irritating foods, cold, or too full can cause gastrointestinal dysfunction. You should be indigestion."
['indigestion'],"After the diet is controlled, the symptoms are significantly improved, then the problem is not big. However, if the symptoms of the digestive tract continue to recur, it is necessary to improve the digestive tract examination."
['Gastrointestinal discomfort'],"Sometimes hot pot is really bad for the stomach. You can't say not to eat, but you must be restrained, not overfull, and not too irritating foods, such as spicy or garlic."
['diarrhea'],"Hello, how many times do you have diarrhea?"
['allergy'],"It can be drunk. It is an allergen. In some less uncomfortable cases, it may cause poor bowel movements. Not too tolerant."
['stomach ache'],The pain in the lower abdomen is related to the flow of people.
"['Cramps', 'Gastrointestinal disorders']","At present, it may be due to intestinal spasm caused by gastrointestinal dysfunction."
['Helicobacter infection'],Positive Helicobacter requires anti- Helicobacter treatment.
['Helicobacter infection'],"Helicobacter pylori can be spread through saliva. However, it can be eradicated with drugs."
['Perianal pain'],"Oh, anal pain?"
['hemorrhoid'],Have you had hemorrhoids before?
['hemorrhoid'],"This kind of anal bleeding is commonly seen as anal fissure or hemorrhoid bleeding. Anal fissures like yours should be caused by hard stools. In this case, you need to keep your stool smooth, drink plenty of water, eat more fruits and vegetables, and eat some honey to keep your stools less hard, especially during your breastfeeding period. With medicine, the blood supply in the anus is very good, and the self-healing ability is very strong. As long as the stool is smooth, it will be better in three to five days. If you have repeated bleeding, every time, you have to see the anorectal department to see if there are hemorrhoids and whether they need medication."
['hemorrhoid'],Are there small meatballs in the anus? You are considering colorectitis or hemorrhoids.
"['hemorrhoid', 'Gastrointestinal disorders']",You should be irritated in the intestines to cause enteritis or dysfunction with hemorrhoids.
['hemorrhoid'],"Avoid greasy, raw, cold and spicy foods. Bleeding is mainly hemorrhoids."
['hemorrhoid'],"might have. Hemorrhoids are divided into internal hemorrhoids and external hemorrhoids, mixed hemorrhoids."
['allergy'],"Your stool and urination problems may be related to poor pelvic floor muscle function, sensory nervousness, etc."
"['nausea', 'Dizziness']","Do you have dizziness, nausea, and unsteady standing?"
['stomach ache'],"Hello, where is the specific part of the abdominal pain?"
['Gastrointestinal disorders'],Consider this situation caused by gastrointestinal dysfunction.
['Gastrointestinal disorders'],Gastrointestinal dysfunction can be caused by functional diseases or enteritis.
"['diarrhea', 'stomach ache', 'Gastrointestinal discomfort']","Abdominal pain, diarrhea, abdominal discomfort."
['diarrhea'],Have you caught a cold? Diarrhea? Are there any other symptoms?
['fever'],Have you checked. Is there any pus? Is there any fever?
"['Hiccup', 'Reflux', 'Heartburn']","Are there any acid reflux, heartburn, or hiccups?"
['Reflux'],"Can. If you have severe acid reflux in the morning, pantoprazole in the evening can be changed to half an hour before going to bed."
['Reflux'],"If acid reflux is not serious, take rabeprazole half an hour before dinner. If acid reflux symptoms are obvious, take it half an hour before dinner."
['Helicobacter infection'],There is no Helicobacter pylori infection.
['Helicobacter infection'],Recurrent ulcers are often related to Helicobacter pylori.
['Perianal pain'],Is there pain in the anus during defecation?
['hemorrhoid'],"Well, the current consideration is bleeding from hemorrhoids."
['hemorrhoid'],It is recommended to buy Mayinglong hemorrhoid suppository from the pharmacy.
['hemorrhoid'],"Don't worry, it's okay, hemorrhoids are bleeding."
['Vomit'],"Hello, it's mainly vomiting and lack of food at the moment, isn't it?"
['fever'],"Unkind. Always pay attention to exercise, eat low-calorie, low-fat and high-protein foods, and don't drink alcohol."
['Sticky stool'],"Is there any mucus, pus and blood in the stool?"
"['Bloating', 'fever', 'nausea', 'Vomit', 'Reflux', 'Heartburn']","Heartburn, acid reflux, abdominal distension, nausea, vomiting, and fever?"
['stomach ache'],Which part of the body hurts? Do you have pain in the upper umbilicus or lower abdomen?
['stomachache'],"Consider the possibility of acute gastroenteritis. If you have a history of gastric disease, the symptoms of stomach pain will be obvious. It is recommended to pay attention to diet and avoid spicy food that stimulates greasy cold and crude fiber foods such as vegetables and fruits."
['Vomit'],"Go buy domperidone, or observe that you will feel less uncomfortable after vomiting."
['stomach ache'],Men with right abdominal pain generally consider intestinal disease or appendicitis and urinary tract stones.
['Gastrointestinal discomfort'],Regulate the intestinal flora and intestinal pain and discomfort symptoms. Yes.
['Loose stool'],Has it always been like this. Stool several times a day. Loose stools?
['diarrhea'],Do you have diarrhea? Is it normal to urinate?
"['nausea', 'Vomit']","Hello, have you ever vomited? Still just disgusting."
"['diarrhea', 'Loose stool']",How many diarrhea a day? Stool is not formed or water?
['fever'],"Have you been to Wuhan recently, or have you been in contact with people who have returned from Wuhan? Do you have a fever?"
"['Bloating', 'stomachache']",You're welcome. Is stomach pain full or colic?
"['diarrhea', 'nausea']",Take bifidobacteria for another week after the diarrhea and nausea get better.
['Sticky stool'],"Hello, how long has it been like this? Is there any mucus in the stool?"
"['Loose stool', 'Tensile and heavy']","Unformed stool, tense and heavy (like stool not cleared)"
['Black stool'],How is the bowel movement? Are there any abnormalities such as black stool?
['indigestion'],"Mostly it is indigestion. Take a box of mosapride first to promote gastrointestinal motility. If the symptoms of discomfort worsen, it is recommended to perform gastroscopy first."
['indigestion'],The possibility of indigestion is greater.
['Helicobacter infection'],"Oh, I forgot to check Helicobacter pylori before."
['Helicobacter infection'],Or check Helicobacter pylori.
['indigestion'],You still have indigestion and spleen deficiency.
['Bloating'],"If the stomach cure is effective, you can continue to take this medicine. If there are symptoms of stomach bloating, it is recommended to add mosapride for treatment."
"['Bloating', 'Hiccup', 'Reflux']","Hiccups, acid, water, and abdominal distension? Is the bowel movement regular?"
['Blood in stool'],Do you usually have pus and blood in your stool? How many times a day?
"['Frequent urination', 'Urgency']",Do you have frequent urination and urgency?
['Anorexia'],"You're welcome. If you don't want to eat, you can take it easy and drink some porridge."
['nausea'],"Take a personal temperature first. In addition, take this contraceptive as little as possible. Is it also disgusting?"
['diarrhea'],Do you often have diarrhea?
['diarrhea'],What does it look like when you have diarrhea?
['Sticky stool'],"Hmm, whether there is mucus, pus or blood on the stool."
['stomach ache'],"Um, does the stomach hurt?"
['diarrhea'],Is diarrhea related to eating?
['fever'],"Yes, if you don't have a fever, it's generally not a big problem. Just eat porridge for a few days,"
"['fever', 'Vomit', 'Reflux']","Excuse me, do you have fever, acid reflux, vomiting, etc.?"
['Gastrointestinal disorders'],"At present, considering the possibility of gastritis or gastrointestinal dysfunction, it is relatively high!"
['stomach ache'],"Abdominal pain is okay. Keep your abdomen warm in the morning and evening and eat well. Drink plenty of warm water. You can also use local massage or hot compress to relieve the symptoms. If there is pain, take 10 mg of diacetylene tablets orally twice a day to relieve the symptoms, okay?"
"['stomach ache', 'Bloating', 'Hiccup', 'Reflux']","Acid reflux, hiccups, abdominal pain and bloating."
['indigestion'],"OK. Because I am more than 90 years old, I can't tolerate some special tests. This is related to poor gastrointestinal motility in the elderly."
['Fatigue'],"If you don't eat salt, you will have electrolyte disturbances if you can't eat rice, so your legs have no strength."
['Gastrointestinal discomfort'],"Yes, gastrointestinal digestion and peristalsis are not good, so I can only eat thinner ones, dry ones, and hard ones."
['Bowel'],"Vegetables can also be eaten. Don’t eat leeks, cabbage, or celery. You can eat spinach. It’s okay to make some spinach porridge for her. Then the medicine that promotes gastrointestinal motility is called mosapride capsules. You can buy it."
"['Gastrointestinal discomfort', 'Vomit', 'indigestion']",Is there any reason? cold? indigestion? Vomiting is a reaction to gastrointestinal discomfort. There are many incentives.
"['stomachache', 'nausea', 'Reflux']","Are there symptoms of stomach pain, acid reflux, nausea? How many bowel movements a day? Did you lack activity after eating recently?"
"['stomach ache', 'Bloating', 'nausea', 'Vomit']","Hello, in this case, you consider poor digestion and absorption. If there is no obvious abdominal pain, nausea, vomiting and other symptoms, it is not important. It is recommended to exercise more after eating. If the abdominal distension is severe, you can use Kaiseruna anus to assist defecation and exhaust."
